brand,model,scope,class,rule,units_total,units_last_12m,first_seen,last_seen
AUDI,TT COUPE QUATTRO,Whole,ICE,default-ice,2,1,2018-05,2026-01
AUDI,TT ROADSTER,Whole,ICE,default-ice,1,0,2021-04,2021-04
AUDI,TT ROADSTER 1.8T FSI,Whole,ICE,default-ice,1,0,2021-07,2021-07
AUDI,TT RS COUPE 2.5 TFSI S TRONIC QUATTRO (400CV),Whole,ICE,default-ice,12,0,2018-02,2020-01
AUDI,TT TFSI,Whole,ICE,default-ice,1,0,2024-03,2024-03
AUDI,TTS,Whole,ICE,default-ice,1,0,2019-10,2019-10
AUDI,TTS COUPE 2.0 TFSI QUATTRO,Whole,ICE,default-ice,14,0,2018-02,2020-01
AUSTIN,MINI,Whole,ICE,default-ice,1,0,2020-10,2020-10
AUSTIN,MINI 850,Whole,ICE,default-ice,1,0,2022-06,2022-06
AUSTIN,MINI COOPER,Whole,ICE,default-ice,1,0,2022-05,2022-05
AUSTIN HEALEY,100,Whole,ICE,default-ice,1,0,2021-01,2021-01
AUSTIN HEALEY,100-4,Whole,ICE,default-ice,3,0,2019-03,2022-07
AUSTIN HEALEY,100-6,Whole,ICE,default-ice,1,0,2018-12,2018-12
AUSTIN HEALEY,100/4 BNI,Whole,ICE,default-ice,1,0,2021-09,2021-09
AUSTIN HEALEY,3000,Whole,ICE,default-ice,5,2,2018-12,2026-06
AUSTIN HEALEY,3000 BJ8,Whole,ICE,default-ice,1,0,2019-08,2019-08
AUSTIN HEALEY,3000 MK I,Whole,ICE,default-ice,2,0,2020-11,2022-09
AUSTIN HEALEY,3000 MK III,Whole,ICE,default-ice,7,1,2018-03,2025-10
AUSTIN HEALEY,SPRITE,Whole,ICE,default-ice,3,3,2026-01,2026-06
AUSTIN ROVER,MINI MK II,Whole,ICE,default-ice,1,0,2019-01,2019-01
BAIC,BJ20,Whole,ICE,default-ice,1,0,2019-12,2019-12
BAIC,BJ30,Whole,HEV,hev-baic-bj30,279,66,2025-02,2026-08
BAIC,BJ30E,Whole,HEV,hev-baic-bj30,6726,6653,2025-03,2026-08
